ID,Title,Author,publishday,pages,Read,Genre,ISBN,Price,Language,Publisher,Rating,Tags
165,Türen an der Donau,Thomas Lang,1965-10-21,395,false,Thriller,712-214027-801-9,47.42,Spanisch,Zukunftsverlag,3.0,Krieg
166,Geheime Rätsel,Tobias Brandt,2017-09-25,731,false,Roman,776-256464-563-8,21.03,Italienisch,Villach Print,2.8,Familie;Wissenschaft
167,Blätter im Herbst,Clara Seidl,1989-01-01,815,false,Biografie,191-711033-108-9,59.25,Spanisch,AlpenBooks,4.4,Wissenschaft
168,Dunkle Wege bei Regen,Thomas Fischer,1959-11-04,961,true,Fantasy,340-552686-819-9,26.68,Französisch,Tradition & Technik,2.6,Technik;Mystery;Familie;Abenteuer
169,Träume in Graz,Nina Weber,1982-04-28,940,false,Sachbuch,993-802615-228-2,5.64,Deutsch,AlpenBooks,3.9,Familie;Politik;Abenteuer;Krieg
170,Kalte Legenden,Nico Brandt,2020-10-11,792,false,Horror,738-288531-565-8,28.33,Spanisch,Tradition & Technik,2.4,Politik;Freundschaft
171,Tiefe Schatten,Isabella Mayr,1971-03-29,809,false,Horror,659-704349-475-0,58.8,Italienisch,Salzburg Media,3.8,Freundschaft
172,Horizont im Tal,Leon Mayr,2015-08-11,619,false,Sachbuch,576-642060-180-8,53.95,Deutsch,Donau Press,2.9,Familie
173,Leise Chroniken im Wald,Mia Egger,1954-09-26,1005,true,Fantasy,580-576089-624-7,36.57,Französisch,Tradition & Technik,2.4,Magie;Abenteuer;Liebe
174,Hohe Gipfel im Herbst,Eva Kaiser,2000-07-28,346,true,Science Fiction,692-277292-686-0,41.1,Französisch,Villach Print,1.1,Krieg;Abenteuer;Technik;Vergangenheit
175,Karten im Sturm,Julia Leitner,1974-09-10,958,true,Kinderbuch,214-733152-278-9,45.64,Spanisch,Zukunftsverlag,4.2,Vergangenheit;Zukunft;Mystery
176,Schritte im Morgengrauen,Isabella Schmidt,1980-10-04,1087,true,Roman,709-961639-257-7,46.4,Spanisch,Tradition & Technik,2.0,Zukunft;Familie;Abenteuer;Mystery
177,Ewige Stimmen am Markt,Florian Kral,1960-05-28,133,true,Horror,587-416006-587-8,17.85,Spanisch,Salzburg Media,2.1,Liebe;Magie;Reise;Politik
178,Versteckte Segel am Bodensee,Paul Seidl,1997-08-31,732,true,Horror,725-783740-978-4,23.42,Französisch,Nordlicht Verlag,2.0,Reise;Familie;Mystery;Freundschaft
179,Brennende Wälder,Katrin Berger,1966-02-21,400,false,Lyrik,108-972089-169-0,27.62,Italienisch,Nordlicht Verlag,3.7,Mystery;Zukunft;Magie
180,Spuren am Bodensee,Anna Egger,1958-04-01,138,false,Lyrik,955-327357-713-1,43.94,Deutsch,Nordlicht Verlag,4.4,Politik;Familie
181,Tiefe Chroniken von Salzburg,Markus Bauer,2012-05-30,268,true,Science Fiction,776-179392-754-7,55.75,Französisch,Tradition & Technik,3.8,Magie;Abenteuer;Krieg
182,Gärten am Bodensee #182,Jonas Weber,1979-11-05,1099,true,Sachbuch,282-561976-171-7,58.87,Englisch,Villach Print,2.6,Krieg;Abenteuer;Technik;Politik
183,Hohe Pfad,Paul Seidl,1989-08-13,812,true,Fantasy,174-173832-685-4,47.75,Deutsch,Salzburg Media,1.6,Liebe
184,Feurige Karten im Sturm,Matthias Schneider,1985-02-09,668,true,Kinderbuch,889-614514-589-6,27.22,Deutsch,Steiermark Stories,1.9,Zukunft;Reise;Krieg;Freundschaft
185,Ewige Wälder im Herbst,Jonas Schmidt,2006-09-22,1100,false,Thriller,474-660596-973-5,9.43,Spanisch,Wort & Welt,3.6,Technik;Liebe
186,Kompass in Graz,Mia Berger,1984-12-30,997,true,Kinderbuch,467-610135-186-7,45.44,Englisch,Buchhaus Wien,1.8,Reise;Politik
187,Leise Pfad,Mia Koller,1997-11-26,1068,false,Science Fiction,116-138842-447-0,23.57,Deutsch,Tradition & Technik,1.5,Familie;Technik;Abenteuer;Freundschaft
188,Goldene Stimmen,Eva Wagner,1993-11-11,749,true,Drama,146-354471-818-2,5.79,Deutsch,Wort & Welt,4.3,Reise
189,Ferne Schriftrollen im Wald,Marie Kral,2023-05-04,188,true,Drama,918-745533-325-1,49.24,Spanisch,Zukunftsverlag,4.2,Wissenschaft;Krieg;Familie;Freundschaft
190,Geheime Wälder in Graz,Florian Schmidt,2003-03-18,257,true,Thriller,380-248097-875-6,14.24,Französisch,Steiermark Stories,1.7,Freundschaft;Liebe
191,Stille Chroniken,Isabella Steiner,2004-12-11,465,false,Fantasy,598-184643-106-0,14.87,Deutsch,Villach Print,4.5,Zukunft;Reise;Abenteuer;Mystery
192,Erste Segel,Nico Koch,1971-06-19,1040,true,Kinderbuch,138-725236-284-7,38.66,Deutsch,Wort & Welt,2.4,Technik
193,Zerbrochene Ufer #193,Sebastian Bauer,2005-07-11,450,false,Historisch,619-329927-575-3,20.2,Englisch,Nordlicht Verlag,4.2,Reise;Abenteuer;Zukunft;Liebe
194,Ewige Uhren,Felix Koch,1972-07-21,422,false,Science Fiction,144-209493-858-0,55.87,Englisch,AlpenBooks,4.1,Technik;Krieg;Zukunft;Mystery
195,Nördliche Blätter im Wald,David Koch,1967-10-31,845,false,Biografie,335-916814-212-5,17.53,Englisch,Tradition & Technik,4.5,Mystery;Krieg;Reise;Freundschaft
196,Stimmen bei Nacht,Leon Fuchs,2004-09-03,545,true,Biografie,239-579975-837-3,39.76,Französisch,Donau Press,2.3,Zukunft
197,Dunkle Karten im Sturm,Paul Wallner,1991-10-07,549,false,Biografie,325-409499-718-2,48.43,Italienisch,AlpenBooks,3.3,Krieg;Politik
198,Südliche Legenden in Graz,Tobias Koller,2025-02-02,553,true,Kinderbuch,538-871939-993-3,18.63,Spanisch,Villach Print,1.9,Freundschaft;Liebe
199,Stimmen am Bodensee,Laura Mayr,2018-12-15,596,true,Historisch,503-602550-929-1,29.88,Englisch,Nordlicht Verlag,3.2,Zukunft
200,Kalte Spuren im Sturm,Sophie Hofer,1971-06-13,743,false,Fantasy,591-801534-412-2,43.68,Italienisch,Villach Print,1.1,Reise;Abenteuer;Politik;Zukunft
201,Pfad im Winter,Matthias Steiner,1950-02-14,961,false,Horror,807-449077-643-0,21.31,Französisch,Villach Print,3.2,Vergangenheit;Familie
202,Hohe Rätsel,David Mayr,1954-12-02,607,false,Lyrik,472-154067-213-6,25.11,Italienisch,Buchhaus Wien,2.5,Familie;Technik
203,Goldene Türen in Graz,Leon Schneider,1971-05-30,632,true,Science Fiction,855-888819-694-3,46.42,Englisch,Zukunftsverlag,2.4,Technik;Familie;Politik
204,Stimmen im Tal,Sophie Fischer,1990-08-03,577,false,Thriller,581-844305-644-8,54.47,Spanisch,Villach Print,2.5,Mystery
205,Brücken im Tal,Jonas Brandt,1966-01-16,375,false,Thriller,211-272769-382-1,43.34,Spanisch,AlpenBooks,4.5,Magie
206,Kompass bei Regen,Clara Wagner,1992-07-07,435,false,Kinderbuch,760-122525-398-3,8.46,Englisch,Steiermark Stories,3.6,Freundschaft;Wissenschaft;Familie;Zukunft
207,Blätter im Morgengrauen,Thomas Moser,1989-12-12,548,true,Roman,908-421383-275-4,17.47,Französisch,Wort & Welt,4.1,Abenteuer
208,Uhren im Winter,Lea Egger,1964-06-04,808,false,Roman,279-980103-825-2,13.87,Deutsch,Buchhaus Wien,5.0,Reise;Magie
209,Schritte in Graz,Nina Berger,1953-02-10,761,true,Biografie,251-491029-559-8,58.65,Italienisch,Wort & Welt,1.5,Politik
210,Gärten im Sturm,Nico Seidl,1978-09-23,239,true,Kinderbuch,659-632056-439-4,31.07,Französisch,Villach Print,3.7,Wissenschaft;Zukunft;Krieg;Reise
211,Geheime Kompass,Nina Bauer,1977-08-22,105,false,Krimi,556-474754-194-5,8.03,Englisch,Villach Print,3.1,Mystery;Liebe;Krieg
212,Nördliche Kompass im Tal,Sebastian Weber,1967-06-12,582,true,Drama,623-158770-782-5,26.87,Spanisch,Zukunftsverlag,2.5,Magie
213,Lichter im Herbst,Nico Wallner,2000-05-01,169,true,Science Fiction,859-535798-922-7,20.87,Spanisch,Tradition & Technik,1.6,Abenteuer
214,Verbotene Schatten,Isabella Pichler,1980-02-03,147,false,Drama,874-494025-190-0,27.52,Französisch,Tradition & Technik,1.7,Zukunft;Freundschaft;Abenteuer;Mystery
215,Feurige Uhren #215,Nina Koller,1953-10-15,922,false,Drama,411-618101-672-7,17.35,Deutsch,AlpenBooks,2.1,Krieg;Familie;Zukunft;Magie
216,Schritte im Sommer #216,Clara Berger,2007-11-06,330,true,Sachbuch,604-169966-713-5,36.96,Italienisch,Tradition & Technik,4.5,Zukunft;Krieg;Wissenschaft;Technik
217,Tiefe Wege am Markt,Lea Lechner,1955-04-02,229,true,Kinderbuch,238-474745-267-0,20.0,Spanisch,Zukunftsverlag,1.2,Technik;Familie;Krieg
218,Zerbrochene Gärten von Salzburg,Florian Bauer,2003-09-20,850,true,Biografie,993-431570-946-4,19.93,Französisch,Nordlicht Verlag,3.1,Abenteuer;Liebe;Vergangenheit
219,Verbotene Lichter im Sommer,Elena Schneider,1964-08-17,184,true,Historisch,326-971968-292-8,38.74,Italienisch,Steiermark Stories,3.9,Politik
220,Sterne im Tal,Paul Kral,1961-10-10,1025,true,Biografie,419-824619-471-2,49.94,Italienisch,Steiermark Stories,4.1,Abenteuer;Zukunft;Magie
221,Stille Schlüssel,Leon Wallner,2012-04-13,225,false,Sachbuch,228-320034-233-1,28.36,Deutsch,Nordlicht Verlag,1.1,Vergangenheit;Politik;Liebe;Mystery
222,Dunkle Chroniken,Katrin Pichler,2003-03-21,140,false,Sachbuch,144-169465-408-0,46.5,Deutsch,Villach Print,1.8,Abenteuer;Familie
223,Wege im Tal,Leon Wallner,2016-12-11,1044,true,Drama,456-469311-264-8,47.94,Italienisch,Donau Press,3.0,Krieg
224,Verlorene Segel in Graz,Matthias Fuchs,1975-04-15,255,false,Historisch,104-860583-201-3,55.63,Spanisch,Zukunftsverlag,3.8,Reise;Familie
225,Ferne Schriftrollen,Sophie Weber,1988-01-18,299,false,Horror,215-898395-421-1,30.62,Italienisch,AlpenBooks,3.0,Zukunft;Magie;Technik
226,Dunkle Brücken am Fluss,Laura Bauer,1984-07-09,370,false,Kinderbuch,419-820420-961-7,17.42,Spanisch,Wort & Welt,4.9,Mystery;Krieg;Reise;Wissenschaft
227,Verlorene Kompass,Laura Wolf,1959-06-09,485,false,Lyrik,792-189135-222-2,26.71,Italienisch,Nordlicht Verlag,4.0,Krieg;Wissenschaft
228,Versteckte Spuren,Julia Wallner,1986-04-09,205,true,Horror,842-623354-385-9,37.65,Spanisch,Zukunftsverlag,2.9,Reise;Technik;Magie;Abenteuer
229,Ufer an der Donau,Maximilian Koller,1994-08-12,316,false,Roman,130-204441-855-0,50.67,Spanisch,Buchhaus Wien,4.9,Freundschaft;Familie;Wissenschaft;Abenteuer
230,Seiten an der Grenze,Paul Eder,1956-11-12,756,false,Science Fiction,911-588659-306-4,41.42,Spanisch,Steiermark Stories,2.0,Vergangenheit;Technik;Zukunft
231,Dunkle Winde #231,Markus Seidl,1960-09-08,472,false,Horror,553-581984-136-0,14.73,Französisch,AlpenBooks,3.0,Magie;Zukunft
232,Schatten an der Donau,Tobias Wolf,1994-01-04,755,false,Historisch,685-592640-587-8,51.99,Italienisch,Buchhaus Wien,2.6,Freundschaft;Politik;Vergangenheit;Wissenschaft
233,Wälder am Bodensee,Anna Lechner,1954-01-18,211,false,Biografie,928-878103-697-0,47.09,Französisch,Tradition & Technik,1.4,Wissenschaft;Politik;Vergangenheit
234,Letzte Schlüssel #234,Emilia Steiner,1977-12-31,686,true,Kinderbuch,167-419723-217-5,14.34,Italienisch,Zukunftsverlag,1.1,Freundschaft;Technik;Politik;Magie
235,Südliche Blätter,Anna Schneider,1983-11-21,664,false,Drama,200-947591-600-1,43.0,Englisch,Zukunftsverlag,3.0,Abenteuer;Freundschaft;Magie
236,Winde in Graz,Laura Steiner,2020-08-14,157,false,Historisch,319-401314-371-0,21.35,Italienisch,Tradition & Technik,4.2,Zukunft
237,Stille Blätter am Fluss,Maximilian Huber,2000-10-25,900,false,Horror,314-464187-914-1,40.83,Französisch,Steiermark Stories,4.2,Familie;Technik;Wissenschaft;Mystery
238,Nebel am Markt,Julia Pichler,1990-08-30,767,false,Roman,119-758342-820-8,52.45,Italienisch,Salzburg Media,1.9,Magie;Familie;Technik;Freundschaft
239,Sterne im Wald,Eva Steiner,1955-05-17,614,true,Science Fiction,251-352050-254-4,51.43,Spanisch,Zukunftsverlag,4.4,Familie
240,Kalte Karten #240,Thomas Hofer,2007-12-17,244,true,Drama,341-525581-344-1,13.25,Deutsch,Donau Press,4.2,Reise;Vergangenheit;Technik
241,Winde am Bodensee,Felix Maier,1974-06-20,219,true,Sachbuch,774-677457-280-0,58.01,Spanisch,Buchhaus Wien,1.2,Wissenschaft
242,Verbotene Legenden im Tal,Markus Koch,1982-08-10,767,false,Thriller,506-980605-841-2,17.98,Italienisch,Steiermark Stories,4.7,Reise;Krieg;Mystery
243,Stille Gärten am Fluss,David Kral,2002-06-04,834,false,Kinderbuch,861-347399-533-3,12.94,Englisch,Donau Press,4.9,Politik;Magie;Freundschaft;Liebe
244,Türen im Norden,Matthias Bauer,1978-05-24,638,false,Lyrik,352-391224-903-2,24.96,Französisch,Wort & Welt,1.1,Zukunft
245,Dunkle Horizont von Innsbruck,Maximilian Moser,1984-07-06,396,false,Kinderbuch,471-951706-801-1,34.42,Englisch,Salzburg Media,2.6,Magie;Vergangenheit;Krieg;Mystery
246,Spuren von Salzburg,Clara Lang,2006-08-23,404,false,Lyrik,516-927659-134-4,52.65,Spanisch,Salzburg Media,3.9,Zukunft;Politik;Krieg
247,Erste Segel #247,Marie Fischer,1987-10-05,696,false,Historisch,855-442641-564-0,46.91,Englisch,Salzburg Media,4.2,Liebe;Politik
248,Verbotene Wälder,Tobias Huber,1959-12-11,241,true,Kinderbuch,886-970969-764-2,51.58,Spanisch,Zukunftsverlag,2.8,Magie;Abenteuer
249,Tiefe Schriftrollen am Fluss,Sarah Hofer,1967-10-28,166,false,Roman,502-495648-954-9,17.35,Deutsch,Steiermark Stories,3.6,Krieg;Reise
250,Erste Horizont,Isabella Maier,1954-06-20,490,false,Drama,366-256501-191-5,14.36,Italienisch,Nordlicht Verlag,1.1,Vergangenheit;Reise;Familie;Zukunft
251,Letzte Horizont,Felix Fuchs,2022-12-22,880,true,Kinderbuch,606-500633-233-6,52.1,Italienisch,Donau Press,5.0,Zukunft;Familie;Mystery
252,Schritte bei Nacht,Sarah Wagner,1952-07-31,377,false,Krimi,732-572883-354-5,37.06,Spanisch,Nordlicht Verlag,1.0,Wissenschaft;Zukunft
253,Kompass in Graz #253,Matthias Weber,2013-07-23,513,false,Sachbuch,174-199907-670-0,7.87,Englisch,Salzburg Media,4.6,Liebe
254,Segel an der Grenze,Jonas Hofer,1985-05-30,767,true,Historisch,142-708684-283-4,14.34,Spanisch,Zukunftsverlag,4.5,Krieg;Wissenschaft
255,Brennende Winde im Sturm,Maximilian Bauer,1978-02-08,125,false,Science Fiction,992-975355-387-5,55.94,Französisch,Wort & Welt,3.5,Technik;Wissenschaft;Politik
256,Versteckte Gipfel,Laura Eder,1963-07-28,649,false,Lyrik,751-936994-550-0,15.39,Deutsch,Donau Press,1.7,Magie;Abenteuer;Reise;Politik
257,Südliche Stimmen,Nico Fischer,2013-08-11,654,false,Science Fiction,215-986925-837-2,11.8,Deutsch,Donau Press,4.5,Abenteuer;Zukunft
258,Erste Blätter im Wald,Felix Lechner,1950-05-16,618,false,Roman,526-180567-352-7,42.23,Französisch,Buchhaus Wien,2.1,Politik
259,Blätter an der Donau,Thomas Schneider,1963-10-18,109,true,Kinderbuch,775-603164-564-4,37.68,Deutsch,Zukunftsverlag,4.9,Wissenschaft;Zukunft;Freundschaft;Abenteuer
260,Dunkle Chroniken #260,Peter Hofer,1978-12-29,897,true,Thriller,660-731548-490-1,26.94,Englisch,Donau Press,4.9,Krieg;Liebe;Mystery;Abenteuer
261,Gärten im Süden,Mia Steiner,2017-07-07,1057,false,Thriller,405-614688-920-6,45.47,Französisch,Villach Print,1.5,Wissenschaft
262,Zerbrochene Schatten im Winter,Markus Weber,1992-09-28,354,false,Horror,192-893237-532-5,38.76,Spanisch,Tradition & Technik,1.4,Reise;Familie;Mystery
263,Geheime Sterne im Sommer,Sebastian Steiner,2008-01-25,617,true,Science Fiction,547-183029-920-7,21.52,Englisch,Wort & Welt,4.4,Magie;Freundschaft;Liebe;Technik
264,Dunkle Segel,Paul Pichler,1988-02-14,502,true,Lyrik,837-696092-932-4,24.55,Italienisch,Nordlicht Verlag,4.1,Krieg
265,Nördliche Schritte von Salzburg,Thomas Weber,1954-01-23,165,false,Kinderbuch,404-429196-701-7,46.65,Spanisch,Villach Print,4.2,Vergangenheit;Abenteuer;Mystery
266,Goldene Gipfel,Julia Leitner,2010-06-01,188,false,Fantasy,105-514118-219-0,14.45,Spanisch,Salzburg Media,3.8,Magie;Freundschaft;Zukunft;Wissenschaft
267,Feurige Chroniken im Herbst,Marie Wagner,1962-02-14,94,true,Fantasy,812-297364-979-0,16.51,Englisch,Donau Press,2.7,Krieg;Magie
268,Träume im Sommer,Elena Müller,1960-06-13,250,false,Kinderbuch,819-566895-596-7,6.08,Spanisch,Villach Print,2.0,Freundschaft;Politik;Liebe
269,Wege an der Donau,Peter Wallner,2013-12-22,522,false,Science Fiction,854-706770-710-8,59.95,Deutsch,Salzburg Media,2.6,Mystery;Zukunft;Liebe;Technik
270,Kalte Blätter,David Moser,1955-09-13,354,false,Horror,584-222621-606-9,56.64,Französisch,Salzburg Media,3.8,Abenteuer
271,Gipfel in Graz #271,Laura Fischer,1989-04-22,317,false,Drama,801-455627-716-7,12.21,Französisch,Tradition & Technik,4.8,Vergangenheit;Reise;Abenteuer
272,Zerbrochene Uhren im Tal,Katrin Koller,1961-08-01,257,true,Drama,603-205805-912-6,56.87,Spanisch,Wort & Welt,1.9,Liebe
273,Rätsel am Markt,Sophie Wolf,1964-03-25,258,false,Historisch,132-946007-165-5,28.68,Italienisch,Donau Press,1.5,Reise;Magie
274,Chroniken im Norden,Florian Schmidt,2019-02-02,978,false,Roman,973-823659-994-8,38.24,Deutsch,Buchhaus Wien,4.7,Vergangenheit;Reise;Krieg;Familie
275,Hohe Chroniken an der Donau,Thomas Moser,1953-10-07,599,true,Lyrik,220-315363-470-2,45.06,Spanisch,Steiermark Stories,3.0,Abenteuer
276,Ewige Wälder im Sturm,Paul Wallner,1968-02-11,529,false,Fantasy,351-975365-928-7,23.77,Italienisch,AlpenBooks,1.3,Zukunft;Politik;Wissenschaft
277,Letzte Träume im Morgengrauen,Elena Kaiser,1970-06-22,221,false,Horror,519-581037-972-8,48.7,Französisch,Buchhaus Wien,2.8,Zukunft
278,Goldene Brücken am Fluss,David Weber,2019-04-18,248,false,Horror,877-138895-776-2,54.64,Deutsch,Steiermark Stories,4.9,Politik;Familie;Technik;Magie
279,Versteckte Sterne im Norden,Anna Kral,1975-02-06,1001,false,Roman,817-523559-556-3,53.82,Italienisch,Villach Print,3.6,Vergangenheit;Familie;Politik
280,Verbotene Brücken,Lukas Moser,1980-01-04,479,false,Kinderbuch,229-645752-653-4,16.76,Italienisch,Steiermark Stories,2.2,Vergangenheit;Familie;Abenteuer
281,Verlorene Rätsel,Sarah Moser,2003-02-27,344,true,Sachbuch,843-543281-617-1,45.26,Französisch,Wort & Welt,3.5,Krieg;Liebe;Familie
282,Nördliche Uhren,Tobias Mayr,1950-06-20,544,true,Krimi,924-881984-695-9,44.31,Italienisch,Villach Print,1.9,Magie;Familie;Freundschaft
283,Geheime Horizont im Süden,Sebastian Mayr,1972-03-20,187,true,Drama,297-962813-897-5,29.99,Englisch,Tradition & Technik,4.3,Krieg
284,Kalte Rätsel,Leon Koller,1969-04-09,536,true,Lyrik,638-522317-702-8,33.54,Spanisch,Wort & Welt,3.3,Reise;Zukunft;Vergangenheit;Politik
285,Geheime Segel,Leon Koller,2013-10-19,548,true,Kinderbuch,625-654844-220-3,30.05,Deutsch,AlpenBooks,4.8,Krieg;Freundschaft;Politik
286,Stille Lichter,Tobias Hofer,1953-08-12,615,true,Biografie,412-492649-410-4,31.73,Englisch,AlpenBooks,4.1,Liebe;Magie;Zukunft;Mystery
287,Südliche Wege,Paul Moser,1981-04-12,149,false,Horror,592-700896-417-9,29.88,Französisch,Tradition & Technik,2.9,Vergangenheit;Abenteuer
288,Nördliche Gärten im Winter,Katrin Lang,1963-05-14,967,false,Thriller,919-755119-780-9,27.53,Englisch,Tradition & Technik,2.4,Familie
289,Gipfel am Markt,Peter Huber,1964-11-09,804,true,Lyrik,915-909076-824-4,35.86,Deutsch,Steiermark Stories,1.3,Freundschaft
290,Zerbrochene Gärten im Sommer,Sebastian Brandt,1951-09-04,203,false,Historisch,284-119895-381-3,18.49,Italienisch,Salzburg Media,1.3,Politik;Freundschaft;Liebe
291,Legenden über Wien,David Koch,1966-03-12,504,true,Historisch,424-500567-363-1,11.31,Deutsch,Steiermark Stories,1.7,Abenteuer;Magie
292,Geheime Uhren,Elena Wolf,1965-03-07,140,false,Biografie,285-128491-830-0,21.39,Deutsch,Zukunftsverlag,1.6,Magie;Politik;Krieg
293,Zerbrochene Schlüssel,Florian Egger,2002-07-30,322,false,Historisch,494-220671-375-0,22.51,Italienisch,Tradition & Technik,1.3,Politik
294,Letzte Sterne über Wien,Maximilian Moser,2002-08-03,771,true,Historisch,767-923356-228-4,36.25,Spanisch,Nordlicht Verlag,4.4,Vergangenheit;Abenteuer
295,Türen von Salzburg,Sarah Gruber,1998-03-23,1055,false,Historisch,562-143822-101-7,57.86,Italienisch,Wort & Welt,3.6,Liebe;Vergangenheit
296,Karten an der Grenze,Maximilian Kral,2011-01-03,469,false,Lyrik,317-713583-960-8,20.47,Englisch,Steiermark Stories,3.3,Krieg;Politik;Vergangenheit
297,Leise Karten,Markus Koch,1968-12-01,705,false,Biografie,798-459279-750-4,58.88,Spanisch,Wort & Welt,2.0,Wissenschaft;Mystery;Reise
298,Versteckte Wege im Sturm,Peter Seidl,1950-03-09,703,false,Fantasy,788-281965-523-8,54.24,Spanisch,Tradition & Technik,3.2,Technik
299,Nördliche Kompass,Paul Fischer,2022-12-02,465,false,Biografie,496-285793-959-0,11.86,Französisch,Donau Press,2.8,Zukunft;Liebe
300,Kompass im Norden,Felix Huber,2023-03-26,708,false,Kinderbuch,326-345637-605-5,7.02,Spanisch,Villach Print,1.8,Familie;Politik
301,Erste Blätter,Sebastian Koller,1965-04-18,645,true,Kinderbuch,679-804827-798-9,36.08,Deutsch,Villach Print,1.5,Abenteuer
302,Sterne im Wald #302,Isabella Gruber,1996-12-05,826,false,Krimi,968-810912-123-8,38.8,Italienisch,Salzburg Media,1.0,Familie;Vergangenheit;Zukunft;Liebe
303,Winde bei Nacht,Maximilian Bauer,2011-01-08,610,false,Biografie,629-895891-144-3,7.58,Spanisch,Steiermark Stories,2.8,Politik
304,Versteckte Brücken,Markus Lechner,2022-06-17,105,false,Krimi,806-544407-176-3,15.83,Französisch,Wort & Welt,1.3,Liebe
305,Winde über Wien,Tobias Kaiser,2006-03-10,1037,true,Sachbuch,353-213079-584-3,57.73,Deutsch,Zukunftsverlag,3.1,Krieg;Freundschaft
306,Nördliche Gärten an der Donau,Peter Lang,2001-12-09,207,true,Fantasy,134-495727-420-1,48.05,Deutsch,Salzburg Media,1.2,Krieg;Vergangenheit;Familie;Liebe
307,Dunkle Uhren im Süden,Jonas Bauer,2005-05-19,850,false,Drama,906-791770-738-0,29.94,Spanisch,Tradition & Technik,4.5,Wissenschaft
308,Verlorene Flammen im Morgengrauen,David Lechner,1967-04-09,190,true,Drama,830-170825-707-3,54.74,Englisch,Steiermark Stories,2.0,Reise;Zukunft;Freundschaft;Vergangenheit
309,Letzte Träume,Sarah Schmidt,1955-06-06,210,true,Horror,625-783362-872-5,22.12,Italienisch,AlpenBooks,1.6,Freundschaft;Wissenschaft;Magie
310,Wege im Morgengrauen,Tobias Wolf,2010-11-08,228,true,Historisch,938-975744-672-0,28.21,Englisch,Donau Press,3.6,Vergangenheit;Krieg
311,Spuren im Sommer,Matthias Berger,1991-12-07,694,false,Drama,679-451965-730-4,28.03,Englisch,Nordlicht Verlag,2.8,Reise
312,Verlorene Pfad,Emilia Berger,1970-08-29,557,false,Krimi,592-870269-886-5,49.4,Spanisch,Donau Press,2.6,Wissenschaft
313,Goldene Lichter,Anna Moser,1960-05-02,225,true,Krimi,746-714136-883-5,7.41,Deutsch,Donau Press,1.8,Mystery;Magie
314,Ferne Wälder bei Regen,Emilia Maier,1967-08-02,102,true,Sachbuch,203-122013-951-2,25.84,Deutsch,Zukunftsverlag,4.7,Reise;Mystery;Wissenschaft
315,Kompass von Salzburg,Sebastian Kaiser,2005-11-29,982,false,Kinderbuch,166-224249-247-2,48.72,Englisch,Steiermark Stories,2.5,Wissenschaft;Freundschaft;Politik
316,Letzte Sterne am Bodensee,Florian Egger,2002-09-10,273,false,Sachbuch,908-255783-435-3,7.93,Französisch,AlpenBooks,4.4,Mystery;Zukunft;Krieg;Reise
317,Hohe Brücken von Salzburg,Sebastian Weber,2017-05-27,983,false,Historisch,483-622807-631-7,14.84,Französisch,Steiermark Stories,3.8,Reise;Magie;Freundschaft;Politik
318,Tiefe Pfad am Bodensee,Felix Gruber,1968-03-18,542,false,Horror,323-420863-535-6,36.43,Französisch,Wort & Welt,3.2,Vergangenheit;Krieg
319,Flammen im Morgengrauen,Sophie Gruber,2002-05-23,122,false,Drama,444-546800-561-7,28.79,Französisch,Salzburg Media,2.3,Liebe;Abenteuer;Reise;Mystery
320,Pfad im Tal,Sophie Brandt,1957-05-24,381,false,Historisch,659-774920-180-4,55.96,Deutsch,Nordlicht Verlag,1.3,Technik
321,Versteckte Spuren #321,Katrin Schneider,1972-06-06,389,false,Lyrik,965-387796-295-9,59.89,Italienisch,Wort & Welt,1.0,Magie;Wissenschaft;Politik
322,Schriftrollen im Wald #322,Florian Steiner,1951-01-25,563,false,Roman,986-516814-333-3,44.78,Englisch,Salzburg Media,1.9,Zukunft;Reise;Wissenschaft;Krieg
323,Legenden in Graz,Elena Eder,2012-08-13,507,true,Science Fiction,973-685573-130-5,12.64,Englisch,Wort & Welt,4.8,Reise
324,Ewige Wälder von Innsbruck,Elena Koch,2011-07-11,850,false,Kinderbuch,650-414192-433-9,6.28,Deutsch,AlpenBooks,1.6,Freundschaft;Familie;Vergangenheit
325,Tiefe Legenden im Süden,Jonas Fuchs,1985-01-17,145,false,Krimi,586-213915-436-9,57.91,Französisch,Nordlicht Verlag,1.7,Liebe;Zukunft
326,Südliche Wege von Salzburg,Felix Huber,1984-08-14,370,true,Sachbuch,775-649868-171-7,8.16,Italienisch,Buchhaus Wien,1.7,Politik;Abenteuer;Krieg;Zukunft
327,Kalte Schatten im Tal,Jonas Brandt,1968-07-10,213,false,Sachbuch,542-957626-826-7,13.73,Italienisch,Wort & Welt,3.3,Magie;Mystery;Liebe;Abenteuer
328,Brücken im Süden,Julia Kaiser,1972-02-23,618,true,Drama,602-582559-573-9,7.15,Deutsch,Wort & Welt,3.6,Wissenschaft;Zukunft;Magie;Politik
329,Ferne Winde von Innsbruck,Lea Brandt,2005-06-02,830,false,Horror,774-292355-815-9,10.25,Deutsch,Donau Press,4.5,Magie;Familie
330,Verbotene Kompass im Tal,Matthias Mayr,2014-10-23,1003,true,Science Fiction,521-898868-666-1,59.74,Deutsch,Nordlicht Verlag,3.0,Politik;Reise;Abenteuer
331,Spuren im Morgengrauen,Lukas Lang,1952-05-25,154,false,Lyrik,867-584341-490-5,46.03,Englisch,Tradition & Technik,1.2,Krieg;Zukunft;Abenteuer
